X, Y
57, 62
83, 50
77, 94
75, 59
73, 74
79, 52
52, 92
85, 97
59, 90
64, 86
67, 79
51, 57
71, 74
92, 79
60, 52
85, 57
90, 59
77, 79
64, 74
53, 84
68, 88
96, 92
87, 55
63, 57
55, 51
82, 61
64, 70
57, 65
88, 92
54, 68
87, 53
51, 86
86, 90
93, 82
91, 59
95, 96
58, 74
92, 98
62, 75
89, 58
82, 86
52, 65
55, 51
64, 76
50, 54
66, 50
76, 94
55, 68
59, 54
97, 79
28, 27
7, 40
14, 36
9, 26
43, 22
3, 34
11, 31
40, 28
35, 46
19, 1
4, 27
36, 26
24, 25
45, 38
38, 0
42, 41
42, 41
36, 28
42, 49
20, 4
30, 18
22, 20
20, 45
3, 22
33, 31
48, 46
36, 22
47, 33
21, 35
31, 2
8, 28
18, 22
3, 6
33, 11
40, 28
26, 30
22, 1
19, 5
9, 12
49, 39
15, 39
33, 29
37, 20
4, 49
16, 49
25, 15
11, 18
19, 45
30, 1
28, 5
